epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,280.047,1.24099,1.25328,1.19814,0.61304,0.53107,0.57239,0.3625,1.31069,1.28549,1.27077,0.000964975,0.000964975,0.000964975
43,286.678,1.16363,1.0628,1.17205,0.64727,0.51837,0.57266,0.34011,1.48256,1.30322,1.39765,0.000953657,0.000953657,0.000953657
44,294.532,1.21266,1.08628,1.18814,0.55322,0.53672,0.54976,0.32347,1.4095,1.42674,1.27362,0.00094234,0.00094234,0.00094234
45,302.148,1.2467,1.0999,1.19423,0.54251,0.64317,0.56333,0.35624,1.36733,1.31704,1.28432,0.000931022,0.000931022,0.000931022
46,308.516,1.17692,1.04728,1.17291,0.58892,0.55932,0.53242,0.30885,1.46949,1.54371,1.37536,0.000919704,0.000919704,0.000919704
47,314.45,1.12118,1.0131,1.15094,0.58942,0.53672,0.59286,0.35707,1.37415,1.29871,1.29403,0.000908387,0.000908387,0.000908387
48,321.217,1.16416,1.01008,1.17259,0.52029,0.54802,0.50737,0.30051,1.49446,1.45674,1.35586,0.000897069,0.000897069,0.000897069
49,328.559,1.16361,0.97261,1.16347,0.61393,0.55932,0.56751,0.33279,1.50436,1.40976,1.41537,0.000885751,0.000885751,0.000885751
50,334.402,1.13506,1.038,1.16692,0.49509,0.50847,0.47192,0.26898,1.46336,1.61309,1.35142,0.000874434,0.000874434,0.000874434
51,339.971,1.19068,1.0243,1.20264,0.54626,0.54802,0.57882,0.3559,1.36545,1.32685,1.29763,0.000863116,0.000863116,0.000863116
52,345.646,1.12876,1.02533,1.14809,0.53122,0.61582,0.6092,0.35998,1.35473,1.2982,1.27553,0.000851798,0.000851798,0.000851798
53,351.239,1.14308,0.97963,1.16113,0.57883,0.55367,0.58923,0.36004,1.39849,1.23717,1.27299,0.000840481,0.000840481,0.000840481
54,356.848,1.15964,1.23987,1.17127,0.62457,0.45763,0.49209,0.29304,1.49548,1.45365,1.34275,0.000829163,0.000829163,0.000829163
55,362.531,1.11548,0.94348,1.12978,0.59702,0.55243,0.56278,0.34171,1.3882,1.25378,1.303,0.000817845,0.000817845,0.000817845
